Jurisdiction,Year,Category,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Total
State of Maryland,2010,Total,364488,366868,379029,406241,393698,393548,368494,377409,418163,461585,440619,377989,317779,226596,159761,124579,98580,98126,5773552
State of Maryland,2010,Total Male,185916,186865,193068,208249,199923,194223,179279,181543,200934,221969,211218,179108,149941,104873,72158,53066,38419,31010,2791762
State of Maryland,2010,Total Female,178572,180003,185961,197992,193775,199325,189215,195866,217229,239616,229401,198881,167838,121723,87603,71513,60161,67116,2981790
St. Mary's County,2015,Total Non_Hispanic Other,538,877,812,718,524,383,379,392,358,401,413,337,252,181,120,60,26,23,6794
State of Maryland,2010,Non-Hisp White Male,80049,86723,94449,102179,99166,96251,85738,89797,108565,131104,131791,117780,102102,73102,50357,38734,29958,25325,1543170
State of Maryland,2010,Non-Hisp White Female,76036,83120,89165,96506,95029,95826,86704,93875,113098,134490,135496,122103,106766,80233,58093,49981,45382,52885,1614788
St. Mary's County,2045,Total Non_Hispanic Other,1070,1119,1178,1326,892,672,682,1038,928,736,654,537,502,426,354,305,160,86,12665
Baltimore City,2010,Total,41152,35441,34339,44278,56460,57675,45889,37565,38999,43572,43873,37978,30928,22098,16454,13397,10513,10350,620961
Baltimore City,2010,Total Male,20695,18060,17309,21781,26502,27103,22109,18165,18994,21025,20469,17568,14062,9632,6800,5229,3698,3048,292249
Baltimore City,2010,Total Female,20457,17381,17030,22497,29958,30572,23780,19400,20005,22547,23404,20410,16866,12466,9654,8168,6815,7302,328712
Baltimore City,2010,Non-Hisp White Male,3981,2834,2574,3909,7963,10664,8027,5870,5574,5858,5954,5831,5110,3535,2477,1915,1589,1492,85157
Baltimore City,2010,Non-Hisp White Female,3768,2740,2436,4324,9398,11309,7649,5530,4902,5145,5758,5616,5139,3934,2799,2546,2650,3320,88963
Baltimore City,2035,Non-Hisp Other Female,808,656,743,1436,1467,1467,1286,1102,1164,1794,1836,1440,1107,788,665,513,316,149,18737
Talbot County,2035,Hispanic Female,183,178,158,140,141,110,99,75,70,79,95,101,73,57,35,21,2,1,1618
Cecil County,2035,Non-Hisp Other Male,348,341,286,200,169,323,300,253,173,149,131,101,116,99,54,14,10,5,3072
Baltimore City,2015,Total Hispanic,3469,2738,1926,1586,1955,3289,3964,3258,2308,1662,1242,873,584,368,236,119,40,47,29664
Baltimore City,2040,Total Male,19760,16806,17014,19557,24275,26473,23269,22648,20643,23757,23770,20718,15579,10681,9281,7954,5555,3993,311733
Harford County,2020,Non-Hisp Other Female,667,671,936,872,615,543,519,668,558,535,465,451,411,301,227,171,92,39,8741
Cecil County,2030,Non-Hisp White Male,2812,2860,2470,2336,2897,2856,2616,2752,2891,2731,2718,2991,3518,3393,2662,1948,1225,1184,46860
Anne Arundel County,2045,Total Hispanic,6636,6358,5929,5722,5459,4732,5021,4934,4279,3555,3491,3902,4155,3210,2420,1715,1106,450,73074
Garrett County,2040,Total Non-Hispanic White,1363,1491,1606,1585,1384,1285,1478,1790,1988,1792,1763,1927,1834,1925,1860,1739,1296,1295,29401
Garrett County,2015,Total Non_Hispanic Other,34,46,78,35,38,37,26,16,11,15,18,18,20,15,5,2,12,5,431
Baltimore County,2045,Hispanic Male,2847,2780,2687,2748,2662,2446,2582,2447,2203,2049,2201,2470,2492,2138,1269,844,389,226,37480
Baltimore City,2015,Non-Hisp Black Female,11877,13270,12284,13340,15709,15688,14513,12469,11597,12803,15577,15220,12869,9690,6784,5127,3817,4260,206894
Frederick County,2035,Total Female,10578,10151,9803,8628,7542,9254,11827,12144,10766,8975,8445,7814,8333,9091,9322,7965,5656,7920,164214
